Boro,Apartment,Story,Class,OrderNumber,CurrentStatus
BROOKLYN,2FL,2,B,810,VIOLATION CLOSED
BRONX,2E,2,C,616,VIOLATION CLOSED
BROOKLYN,2R,2,C,505,NOT COMPLIED WITH
BROOKLYN,4G,4,B,506,VIOLATION CLOSED
BRONX,3D,3,B,568,VIOLATION CLOSED
BRONX,6,3,C,508,VIOLATION CLOSED
BRONX,18,4,B,502,VIOLATION CLOSED
BRONX,5F,5,B,505,VIOLATION CLOSED
BRONX,1B,1,B,501,VIOLATION CLOSED
BROOKLYN,6F,6,C,506,VIOLATION CLOSED
QUEENS,4F,4,A,506,VIOLATION CLOSED
BROOKLYN,4C,4,B,583,VIOLATION CLOSED
BROOKLYN,3D,4,B,501,VIOLATION CLOSED
BRONX,2E,2,B,508,VIOLATION CLOSED
BRONX,,1,C,501,VIOLATION CLOSED
BRONX,18,4,B,501,VIOLATION CLOSED
BRONX,2A,2,B,569,NOT COMPLIED WITH
MANHATTAN,A56,5,C,618,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,,All Stories,A,106,VIOLATION CLOSED
MANHATTAN,5C,5,C,510,NOT COMPLIED WITH
MANHATTAN,,3,A,556,VIOLATION CLOSED
BRONX,,-999,B,686,VIOLATION CLOSED
MANHATTAN,4A,4,B,570,VIOLATION CLOSED
MANHATTAN,5B,5,B,501,VIOLATION CLOSED
MANHATTAN,51,5,B,508,VIOLATION CLOSED
BRONX,2A,2,B,1503,VIOLATION CLOSED
BROOKLYN,,1,C,509,VIOLATION CLOSED
BROOKLYN,2,2,B,802,VIOLATION CLOSED
BROOKLYN,TOPFL,2,A,879,VIOLATION DISMISSED
BROOKLYN,C,2,B,583,VIOLATION CLOSED
BROOKLYN,3L,3,B,1502,VIOLATION CLOSED
BRONX,1E,1,B,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,,1,B,530,VIOLATION CLOSED
BROOKLYN,1B,1,B,583,VIOLATION CLOSED
BRONX,5B,5,B,502,VIOLATION CLOSED
MANHATTAN,13,,B,508,VIOLATION CLOSED
BRONX,2D,2,B,702,VIOLATION CLOSED
QUEENS,4F,4,B,506,NOT COMPLIED WITH
BRONX,1A,1,B,508,VIOLATION CLOSED
BROOKLYN,4,3,C,501,VIOLATION CLOSED
BROOKLYN,,966,A,703,VIOLATION CLOSED
BROOKLYN,B5,2,B,1502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,1D,1,B,566,VIOLATION CLOSED
BRONX,5E,5,B,702,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,4R,,A,501,VIOLATION CLOSED
BROOKLYN,2R,2,B,502,VIOLATION CLOSED
BRONX,5E,5,B,569,VIOLATION CLOSED
BRONX,5A,5,A,508,VIOLATION CLOSED
MANHATTAN,,977,B,539,VIOLATION CLOSED
BRONX,9,1,B,702,INVALID CERTIFICATION
BRONX,3G,3,B,501,VIOLATION CLOSED
BROOKLYN,1FL,1,B,801,VIOLATION CLOSED
BROOKLYN,2A,2,B,566,VIOLATION DISMISSED
BROOKLYN,B11,2,B,1503,VIOLATION CLOSED
BROOKLYN,TOPFL,2,B,1502,VIOLATION CLOSED
BRONX,2A,2,A,508,VIOLATION CLOSED
BRONX,5A,5,C,550,VIOLATION CLOSED
QUEENS,2L,2,C,617,NOV SENT OUT
STATEN ISLAND,,-2,B,550,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,3D,4,A,579,VIOLATION DISMISSED
BRONX,5,3,B,583,NOV SENT OUT
BRONX,,6,B,539,NOV SENT OUT
BRONX,3,2,A,529,NOV SENT OUT
BRONX,4D,4,B,526,VIOLATION CLOSED
BRONX,3G,3,B,702,VIOLATION CLOSED
BRONX,2D,2,B,508,VIOLATION CLOSED
BRONX,P52,5,B,502,VIOLATION CLOSED
BRONX,5B,2,B,501,NOV CERTIFIED LATE
QUEENS,2L,2,A,556,NOV SENT OUT
BRONX,4E,4,A,556,VIOLATION CLOSED
BROOKLYN,,1,B,538,VIOLATION CLOSED
MANHATTAN,64,6,B,530,VIOLATION CLOSED
BRONX,4,1,C,502,NOT COMPLIED WITH
MANHATTAN,4B,4,B,577,NOV SENT OUT
QUEENS,5E,5,C,616,NOV SENT OUT
MANHATTAN,1,1,C,583,VIOLATION DISMISSED
BROOKLYN,,,B,506,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,5A,5,B,508,VIOLATION CLOSED
MANHATTAN,5D,5,B,501,VIOLATION DISMISSED
BRONX,3A,3,C,583,VIOLATION CLOSED
BROOKLYN,1,1,B,822,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,TOPFL,2,A,808,VIOLATION CLOSED
BROOKLYN,2L,2,B,502,NOT COMPLIED WITH
BROOKLYN,2F,2,B,569,FIRST NO ACCESS TO RE- INSPECT VIOLATION
QUEENS,3L,3,B,570,VIOLATION CLOSED
MANHATTAN,5W,5,C,616,VIOLATION CLOSED
BROOKLYN,5,3,B,501,VIOLATION CLOSED
BRONX,5C,5,B,583,VIOLATION CLOSED
QUEENS,2,2,A,808,VIOLATION CLOSED
QUEENS,3F,3,B,1502,VIOLATION CLOSED
BRONX,6K,6,C,688,NOV SENT OUT
QUEENS,25,2,B,1503,NOV SENT OUT
BRONX,6E,6,C,790,VIOLATION CLOSED
BRONX,,-999,C,671,NOT COMPLIED WITH
MANHATTAN,3,1,B,569,NOT COMPLIED WITH
BROOKLYN,2L,2,B,702,VIOLATION CLOSED
MANHATTAN,,977,B,539,VIOLATION CLOSED
QUEENS,2FL,2,B,806,VIOLATION CLOSED
MANHATTAN,51,5,B,502,NOT COMPLIED WITH
BROOKLYN,,0,B,801,VIOLATION CLOSED
BROOKLYN,A4,1,B,702,VIOLATION CLOSED
QUEENS,4K,4,B,568,NOV SENT OUT
BRONX,5D,5,B,502,VIOLATION CLOSED
MANHATTAN,,999,B,530,VIOLATION CLOSED
MANHATTAN,51,,A,491,NOV SENT OUT
BROOKLYN,7,3,B,509,VIOLATION CLOSED
BROOKLYN,6B,6,B,569,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,4,1,A,554,NOT COMPLIED WITH
MANHATTAN,1E,1,B,508,NOV CERTIFIED LATE
BRONX,4B,4,B,702,VIOLATION CLOSED
STATEN ISLAND,PH,2,B,893,NOV SENT OUT
MANHATTAN,3B,3,B,508,VIOLATION CLOSED
BRONX,C3,3,A,556,VIOLATION CLOSED
BROOKLYN,F15,6,B,550,VIOLATION CLOSED
BROOKLYN,1L,1,B,1503,VIOLATION CLOSED
BRONX,62,6,B,508,VIOLATION CLOSED
MANHATTAN,6L,6,B,508,VIOLATION CLOSED
BRONX,4E,4,B,566,VIOLATION CLOSED
QUEENS,2E,1,C,670,VIOLATION CLOSED
MANHATTAN,23,2,A,556,VIOLATION CLOSED
BRONX,2E,2,A,554,VIOLATION CLOSED
BROOKLYN,2L,2,B,702,NOV SENT OUT
QUEENS,7A,4,C,617,VIOLATION CLOSED
QUEENS,2L,2,C,617,NOV SENT OUT
MANHATTAN,1D,1,B,508,VIOLATION CLOSED
QUEENS,,-999,C,502,VIOLATION CLOSED
BRONX,2C,4,C,617,DEFECT LETTER ISSUED
MANHATTAN,E,1,B,579,VIOLATION CLOSED
BRONX,B8,2,C,616,VIOLATION CLOSED
BRONX,6G,6,B,566,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,1B,1,C,508,VIOLATION CLOSED
BRONX,1B,1,B,505,VIOLATION CLOSED
MANHATTAN,30,3,A,505,VIOLATION CLOSED
MANHATTAN,4J,5,B,501,NOT COMPLIED WITH
BROOKLYN,F3,6,B,569,VIOLATION CLOSED
BROOKLYN,1C,1,A,529,VIOLATION CLOSED
BRONX,44,4,B,1503,VIOLATION CLOSED
BRONX,2A,2,B,505,VIOLATION CLOSED
BRONX,2ND,1,C,808,VIOLATION CLOSED
BROOKLYN,,1,B,808,VIOLATION DISMISSED
MANHATTAN,411,4,B,569,VIOLATION CLOSED
BRONX,6A,6,B,501,VIOLATION CLOSED
BRONX,2D,2,B,508,VIOLATION CLOSED
MANHATTAN,4C,,C,555,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,1,2,B,579,VIOLATION CLOSED
BRONX,16B,16,B,501,NOV SENT OUT
MANHATTAN,3,2,B,583,VIOLATION CLOSED
BRONX,1,-1,B,501,NOV SENT OUT
QUEENS,1G,1,B,598,VIOLATION CLOSED
BRONX,,966,C,791,VIOLATION CLOSED
BROOKLYN,11,3,C,790,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,Q34,3,B,579,NOV SENT OUT
BRONX,2,1,C,583,VIOLATION CLOSED
BRONX,,-999,C,501,VIOLATION CLOSED
BROOKLYN,,1,A,484,VIOLATION CLOSED
MANHATTAN,,5,B,501,VIOLATION DISMISSED
MANHATTAN,5A,5,B,583,VIOLATION CLOSED
BRONX,1C,1,A,502,VIOLATION CLOSED
BROOKLYN,2L,2,B,530,VIOLATION CLOSED
BROOKLYN,3B,3,B,702,NOT COMPLIED WITH
BROOKLYN,,0,A,687,VIOLATION DISMISSED
BRONX,,-999,B,502,VIOLATION CLOSED
QUEENS,5G,5,B,508,NOV SENT OUT
BROOKLYN,B22,2,A,556,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,,-999,B,502,VIOLATION CLOSED
BROOKLYN,3B,,B,702,VIOLATION CLOSED
BRONX,6H,6,A,508,VIOLATION CLOSED
BRONX,,1,A,529,VIOLATION CLOSED
BROOKLYN,4G,4,B,569,VIOLATION CLOSED
MANHATTAN,23,2,B,593,VIOLATION CLOSED
BROOKLYN,C5,2,A,554,NOT COMPLIED WITH
BROOKLYN,B22,2,B,508,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,3D,4,B,501,VIOLATION CLOSED
BRONX,3,1,C,616,VIOLATION CLOSED
BROOKLYN,2,2,B,1502,VIOLATION CLOSED
BROOKLYN,2L,2,B,583,VIOLATION CLOSED
MANHATTAN,41A,4,B,1502,VIOLATION CLOSED
BRONX,2,1,B,688,NOV SENT OUT
MANHATTAN,2D,2,B,508,NOT COMPLIED WITH
BRONX,N51,5,C,617,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,,0,B,809,VIOLATION CLOSED
MANHATTAN,23,2,C,617,DEFECT LETTER ISSUED
BROOKLYN,,1,C,501,NOV SENT OUT
QUEENS,,-2,B,506,VIOLATION CLOSED
QUEENS,4E,4,B,702,VIOLATION CLOSED
BRONX,4L,4,C,508,VIOLATION DISMISSED
BRONX,2D,3,B,702,VIOLATION CLOSED
BRONX,2H,2,B,579,VIOLATION CLOSED
BROOKLYN,2D,2,B,508,VIOLATION CLOSED
BROOKLYN,D6,4,B,702,VIOLATION CLOSED
BRONX,18,4,B,508,VIOLATION CLOSED
BRONX,2,1,C,689,VIOLATION CLOSED
BROOKLYN,TOPFL,2,B,801,VIOLATION CLOSED
BRONX,,0,B,501,VIOLATION CLOSED
QUEENS,5G,5,B,702,NOV SENT OUT
MANHATTAN,,1,B,689,VIOLATION CLOSED
BROOKLYN,2,2,B,801,VIOLATION CLOSED
BROOKLYN,2D,2,C,510,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,32,3,B,521,VIOLATION CLOSED
MANHATTAN,3W,3,B,578,VIOLATION CLOSED
BRONX,,3,B,683,VIOLATION CLOSED
BROOKLYN,1,1,B,801,VIOLATION CLOSED
BROOKLYN,4B,4,B,550,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,Z1,1,B,583,NOV SENT OUT
BROOKLYN,,1,C,826,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,1,-1,B,688,NOV SENT OUT
MANHATTAN,2H,2,A,501,VIOLATION CLOSED
BROOKLYN,,,B,761,NOT COMPLIED WITH
MANHATTAN,,3,B,539,VIOLATION CLOSED
BRONX,4G,4,A,556,VIOLATION CLOSED
MANHATTAN,42,4,B,508,VIOLATION CLOSED
BRONX,,3,C,508,VIOLATION CLOSED
BRONX,1B,1,B,508,VIOLATION CLOSED
BROOKLYN,6E,6,B,508,VIOLATION CLOSED
MANHATTAN,,0,B,686,VIOLATION CLOSED
MANHATTAN,41,4,B,501,VIOLATION CLOSED
MANHATTAN,,All Stories,A,556,VIOLATION CLOSED
BRONX,1A,1,B,508,VIOLATION CLOSED
MANHATTAN,2,2,B,508,VIOLATION CLOSED
QUEENS,1G,1,C,550,VIOLATION CLOSED
MANHATTAN,4D,4,B,508,VIOLATION DISMISSED
BROOKLYN,2R,2,A,692,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,2,2,B,1503,VIOLATION CLOSED
MANHATTAN,20,6,B,702,VIOLATION CLOSED
BROOKLYN,4B,4,C,617,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,11E,12,B,583,VIOLATION CLOSED
BRONX,,1,C,526,NOT COMPLIED WITH
BROOKLYN,2I,2,B,505,VIOLATION CLOSED
BROOKLYN,5F,5,B,501,VIOLATION CLOSED
BRONX,,4,B,501,VIOLATION CLOSED
BROOKLYN,1ST,,B,495,NOT COMPLIED WITH
BRONX,2,2,B,570,VIOLATION CLOSED
BROOKLYN,,0,B,683,VIOLATION CLOSED
BRONX,1A,1,B,550,NOV CERTIFIED LATE
MANHATTAN,12A,12,B,505,NOT COMPLIED WITH
BRONX,,966,B,539,VIOLATION CLOSED
BRONX,8N,8,A,556,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,1,1,B,801,VIOLATION CLOSED
BROOKLYN,4B,2,B,568,VIOLATION DISMISSED
MANHATTAN,32,3,C,505,VIOLATION CLOSED
MANHATTAN,4A,3,B,568,VIOLATION CLOSED
MANHATTAN,,3,B,689,VIOLATION CLOSED
BRONX,1A,2,A,554,INVALID CERTIFICATION
BROOKLYN,,0,A,506,VIOLATION CLOSED
BRONX,2K,2,A,529,VIOLATION CLOSED
BRONX,Q34,3,B,550,NOV SENT OUT
BROOKLYN,,,A,484,VIOLATION DISMISSED
MANHATTAN,,-999,B,509,VIOLATION CLOSED
QUEENS,3EW,3,B,583,VIOLATION CLOSED
BRONX,,2,B,502,VIOLATION CLOSED
BRONX,3,1,A,579,VIOLATION CLOSED
BRONX,,4,B,502,VIOLATION CLOSED
BROOKLYN,2FL,2,A,856,VIOLATION CLOSED
MANHATTAN,3D,3,B,501,FIRST NO ACCESS TO RE- INSPECT VIOLATION
MANHATTAN,5L,5,B,702,NOV SENT OUT
BROOKLYN,2FL,2,B,550,VIOLATION CLOSED
BROOKLYN,3-B,3,B,502,VIOLATION CLOSED
BRONX,3E,3,C,617,VIOLATION CLOSED
BROOKLYN,1,1,B,810,VIOLATION CLOSED
BROOKLYN,2FL,2,B,550,VIOLATION CLOSED
MANHATTAN,51,5,B,502,VIOLATION CLOSED
QUEENS,3L,3,B,1503,VIOLATION CLOSED
MANHATTAN,3I,3,B,502,VIOLATION DISMISSED
BROOKLYN,1B,1,B,583,VIOLATION CLOSED
BROOKLYN,2FL,2,B,568,VIOLATION DISMISSED
BROOKLYN,2FL,2,C,790,VIOLATION DISMISSED
BROOKLYN,2L,2,B,569,NOT COMPLIED WITH
MANHATTAN,1,2,B,505,NOV SENT OUT
STATEN ISLAND,2FL,2,C,876,VIOLATION CLOSED
BROOKLYN,1C,1,B,866,VIOLATION REOPEN
MANHATTAN,,0,A,501,NOV SENT OUT
BRONX,3D,3,B,1502,VIOLATION CLOSED
BROOKLYN,E3,5,C,617,VIOLATION CLOSED
BRONX,,-999,B,686,VIOLATION CLOSED
MANHATTAN,4E,4,C,617,VIOLATION CLOSED
BROOKLYN,C1,3,B,579,VIOLATION CLOSED
QUEENS,25,2,B,502,NOV SENT OUT
BROOKLYN,2,2,B,869,NOV SENT OUT
BROOKLYN,C5,2,A,556,VIOLATION CLOSED
BRONX,,9,B,502,VIOLATION CLOSED
BRONX,5B,2,B,702,NOV CERTIFIED LATE
BROOKLYN,1C,1,A,501,VIOLATION CLOSED
BRONX,A1,1,B,505,VIOLATION DISMISSED
BROOKLYN,3,2,B,1502,VIOLATION CLOSED
MANHATTAN,4E,4,A,556,NOT COMPLIED WITH
BRONX,5E,5,A,556,VIOLATION CLOSED
BROOKLYN,6B,6,B,550,VIOLATION CLOSED
BRONX,5D,5,A,501,NOV CERTIFIED ON TIME
BRONX,REAR,1,B,501,INVALID CERTIFICATION
BRONX,5A,5,C,505,VIOLATION CLOSED
BRONX,5A,5,B,502,NOV SENT OUT
MANHATTAN,4E,4,A,556,NOV CERTIFIED LATE
BROOKLYN,6C,6,B,569,FIRST NO ACCESS TO RE- INSPECT VIOLATION
STATEN ISLAND,2FL,2,B,1503,NOV SENT OUT
BROOKLYN,3,,B,506,VIOLATION CLOSED
BRONX,3G,3,B,566,VIOLATION CLOSED
BRONX,1C,1,B,530,VIOLATION CLOSED
BRONX,3A,3,I,759,VIOLATION CLOSED
BROOKLYN,E3,5,C,617,VIOLATION CLOSED
BRONX,2C,2,A,556,VIOLATION CLOSED
BROOKLYN,B2,2,B,1502,VIOLATION CLOSED
MANHATTAN,1A,1,B,501,VIOLATION CLOSED
MANHATTAN,12E,12,B,508,NOV SENT OUT
BRONX,1B,2,B,506,VIOLATION CLOSED
QUEENS,7B,7,A,556,VIOLATION CLOSED
MANHATTAN,4B/5B,5,B,502,INVALID CERTIFICATION
BROOKLYN,,966,B,683,NOV SENT OUT
MANHATTAN,4M,5,B,530,VIOLATION CLOSED
BRONX,3E,5,B,579,VIOLATION DISMISSED
QUEENS,1 FL,1,B,702,VIOLATION CLOSED
BRONX,6C,3,C,617,VIOLATION CLOSED
BROOKLYN,3K,3,A,508,VIOLATION CLOSED
BROOKLYN,3A,3,B,508,VIOLATION CLOSED
BRONX,5G,6,B,501,VIOLATION CLOSED
BROOKLYN,A4,1,B,508,VIOLATION CLOSED
BRONX,B2,2,B,550,VIOLATION CLOSED
MANHATTAN,3C,3,B,702,INVALID CERTIFICATION
BRONX,PHB,13,A,556,VIOLATION CLOSED
BRONX,2D,2,A,501,NOT COMPLIED WITH
BRONX,1A,1,C,790,VIOLATION CLOSED
BRONX,5D,5,A,508,NOV CERTIFIED ON TIME
BROOKLYN,2R,2,C,509,VIOLATION DISMISSED
MANHATTAN,2J,2,C,583,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,,1,A,556,NOV SENT OUT
BRONX,4A,4,B,702,VIOLATION CLOSED
MANHATTAN,,-999,C,672,VIOLATION CLOSED
BROOKLYN,4H,4,B,501,VIOLATION CLOSED
BRONX,9B,1,B,506,VIOLATION CLOSED
QUEENS,2L,2,A,508,NOV SENT OUT
BROOKLYN,,0,B,502,VIOLATION CLOSED
BROOKLYN,3B,3,B,501,NOT COMPLIED WITH
BROOKLYN,,2,B,805,VIOLATION DISMISSED
BRONX,2D,2,B,508,VIOLATION CLOSED
MANHATTAN,2D,2,B,508,VIOLATION CLOSED
MANHATTAN,41A,,C,510,VIOLATION CLOSED
QUEENS,25,2,B,702,NOV SENT OUT
BRONX,RW3,-1,B,550,VIOLATION CLOSED
BRONX,2A,2,B,508,VIOLATION CLOSED
BROOKLYN,3B,3,B,501,VIOLATION CLOSED
BRONX,6A,6,A,556,VIOLATION CLOSED
BRONX,5B,5,B,569,INVALID CERTIFICATION
BROOKLYN,1AR,1,B,508,VIOLATION CLOSED
QUEENS,1R,1,B,508,NOT COMPLIED WITH
BROOKLYN,4G,4,B,550,VIOLATION CLOSED
BRONX,1B,1,B,583,VIOLATION CLOSED
BRONX,SEC,1,B,742,VIOLATION CLOSED
BROOKLYN,A7,1,B,508,VIOLATION CLOSED
MANHATTAN,56,5,B,702,VIOLATION CLOSED
QUEENS,,966,B,506,VIOLATION CLOSED
MANHATTAN,15,5,C,505,VIOLATION CLOSED
MANHATTAN,4A,4,B,583,NOV SENT OUT
BROOKLYN,6G,6,B,583,VIOLATION CLOSED
BRONX,4F,4,C,617,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,3C,3,B,502,VIOLATION CLOSED
MANHATTAN,5C,5,B,550,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,,-2,B,838,NOV SENT OUT
STATEN ISLAND,PVT,1,A,808,VIOLATION CLOSED
BROOKLYN,7D,4,B,568,NOV CERTIFIED LATE
BRONX,D,1,B,501,NOT COMPLIED WITH
BROOKLYN,B9,2,B,502,VIOLATION CLOSED
BROOKLYN,2R,2,B,1502,VIOLATION CLOSED
STATEN ISLAND,1FL,1,C,988,VIOLATION DISMISSED
BROOKLYN,C4,3,A,501,NOV SENT OUT
MANHATTAN,1D,1,C,502,VIOLATION CLOSED
BROOKLYN,C5,2,A,554,VIOLATION CLOSED
QUEENS,4C,4,B,702,NOV SENT OUT
BRONX,BSMENT,-1,C,583,VIOLATION CLOSED
MANHATTAN,604,6,A,556,VIOLATION CLOSED
BRONX,5G,5,B,530,VIOLATION CLOSED
BRONX,5D,5,A,501,NOV CERTIFIED ON TIME
MANHATTAN,52,5,B,509,VIOLATION CLOSED
BROOKLYN,2L,2,B,502,NOT COMPLIED WITH
STATEN ISLAND,11M,11,A,529,INVALID CERTIFICATION
BROOKLYN,1C,1,B,569,NOV SENT OUT
QUEENS,25,2,B,508,NOV SENT OUT
BRONX,4D,4,B,568,VIOLATION CLOSED
BROOKLYN,6H,5,A,508,NOV SENT OUT
BRONX,,977,A,561,NOT COMPLIED WITH
BRONX,R41,4,B,508,VIOLATION CLOSED
BROOKLYN,4R,4,B,578,VIOLATION DISMISSED
MANHATTAN,3,2,C,567,VIOLATION CLOSED
BROOKLYN,3A,3,A,556,NOV SENT OUT
BROOKLYN,3A,3,C,790,VIOLATION CLOSED
BROOKLYN,11,3,C,688,NOV SENT OUT
BROOKLYN,6F,6,C,506,VIOLATION CLOSED
MANHATTAN,1,1,B,569,VIOLATION CLOSED
BROOKLYN,A5,1,A,556,VIOLATION DISMISSED
BROOKLYN,TOPFL,2,B,809,VIOLATION CLOSED
BRONX,5F,5,B,508,VIOLATION CLOSED
MANHATTAN,12A,1,B,509,VIOLATION CLOSED
BROOKLYN,C4,3,B,598,NOV SENT OUT
BROOKLYN,C203,2,A,556,VIOLATION CLOSED
QUEENS,8D,8,B,502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,3A,3,B,508,VIOLATION CLOSED
QUEENS,KK,-1,A,556,VIOLATION CLOSED
BROOKLYN,6B,6,B,568,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,2A,2,B,569,VIOLATION CLOSED
BRONX,,1,C,671,VIOLATION CLOSED
BRONX,2D,2,B,508,VIOLATION CLOSED
BRONX,7C,3,A,501,NOV SENT OUT
MANHATTAN,4R,,B,530,VIOLATION CLOSED
BRONX,4A,4,B,501,NOT COMPLIED WITH
MANHATTAN,33,3,B,702,VIOLATION CLOSED
BROOKLYN,D6,4,B,508,VIOLATION CLOSED
BRONX,,2,A,556,VIOLATION CLOSED
BROOKLYN,2R,2,B,506,VIOLATION CLOSED
BROOKLYN,,1,B,838,VIOLATION DISMISSED
BRONX,4G,4,B,521,NOT COMPLIED WITH
BROOKLYN,5F,5,B,508,VIOLATION CLOSED
MANHATTAN,12A,12,B,569,NOT COMPLIED WITH
MANHATTAN,2RN,2,C,617,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,2,2,C,970,VIOLATION CLOSED
BRONX,1B,2,B,702,VIOLATION CLOSED
BRONX,10,2,A,501,VIOLATION CLOSED
BROOKLYN,A11,1,B,509,VIOLATION CLOSED
BROOKLYN,,-2,A,502,VIOLATION CLOSED
QUEENS,,5,I,765,INFO NOV SENT OUT
STATEN ISLAND,3F,3,B,501,VIOLATION CLOSED
BROOKLYN,3R,3,A,556,VIOLATION CLOSED
BROOKLYN,1,1,B,802,VIOLATION CLOSED
BROOKLYN,2F,2,B,1502,NOV SENT OUT
BRONX,5C,5,B,566,VIOLATION CLOSED
BRONX,3F,3,B,502,NOT COMPLIED WITH
BRONX,4E,4,B,501,VIOLATION CLOSED
BRONX,R22,2,B,502,VIOLATION CLOSED
BRONX,,3,A,556,VIOLATION CLOSED
BRONX,1B,2,A,508,VIOLATION CLOSED
BRONX,4C,4,A,556,VIOLATION CLOSED
BRONX,B4,-1,B,510,VIOLATION CLOSED
MANHATTAN,4D,4,B,508,VIOLATION DISMISSED
QUEENS,2F,2,C,616,DEFECT LETTER ISSUED
BRONX,5B,5,B,502,VIOLATION CLOSED
MANHATTAN,19,5,B,583,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,5H,5,B,508,VIOLATION CLOSED
BROOKLYN,6A,6,B,579,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,,3,C,502,VIOLATION CLOSED
BROOKLYN,2FL,1,B,806,VIOLATION CLOSED
BROOKLYN,2,2,B,550,VIOLATION CLOSED
MANHATTAN,6C,6,A,556,VIOLATION CLOSED
BROOKLYN,4,3,B,508,VIOLATION CLOSED
MANHATTAN,52,5,B,508,NOT COMPLIED WITH
MANHATTAN,12A,12,B,505,NOT COMPLIED WITH
QUEENS,1R,1,A,556,VIOLATION CLOSED
MANHATTAN,E,1,B,702,VIOLATION CLOSED
BRONX,4B,4,B,598,VIOLATION CLOSED
BROOKLYN,6A,6,B,569,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,,3,B,688,VIOLATION CLOSED
MANHATTAN,E,1,B,501,VIOLATION CLOSED
BROOKLYN,C-9,3,B,566,VIOLATION CLOSED
BRONX,10,2,C,550,VIOLATION CLOSED
MANHATTAN,3L,3,B,593,VIOLATION CLOSED
MANHATTAN,44,4,C,617,VIOLATION CLOSED
BROOKLYN,4R,4,B,505,NOV SENT OUT
BROOKLYN,5E,,B,510,VIOLATION CLOSED
STATEN ISLAND,2R,2,B,501,VIOLATION CLOSED
BRONX,1K,1,A,508,VIOLATION CLOSED
BRONX,4A,,C,508,VIOLATION CLOSED
BRONX,11E,12,B,508,VIOLATION CLOSED
BRONX,20N,5,C,508,VIOLATION DISMISSED
BRONX,1G,1,A,508,VIOLATION CLOSED
BRONX,,-1,C,672,NOT COMPLIED WITH
BRONX,1C,2,B,568,NOV SENT OUT
BRONX,2E,,C,555,VIOLATION CLOSED
MANHATTAN,3E,3,B,502,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BROOKLYN,2R,2,B,521,VIOLATION CLOSED
BROOKLYN,6E,6,B,569,VIOLATION CLOSED
MANHATTAN,1,2,B,502,NOV SENT OUT
BRONX,1A,1,C,567,NOV SENT OUT
BRONX,2B,2,B,508,VIOLATION DISMISSED
BRONX,2G,2,B,506,VIOLATION CLOSED
BRONX,2G,2,B,508,VIOLATION CLOSED
BROOKLYN,1F,1,B,502,VIOLATION CLOSED
BRONX,2B,2,B,508,VIOLATION CLOSED
BROOKLYN,12,0,C,616,INVALID CERTIFICATION
MANHATTAN,6,6,A,556,VIOLATION CLOSED
BROOKLYN,,1,A,1501,VIOLATION CLOSED
BROOKLYN,6C,6,B,505,FIRST NO ACCESS TO RE- INSPECT VIOLATION
BRONX,3F,3,B,501,VIOLATION CLOSED
BRONX,4B,4,B,505,VIOLATION DISMISSED
BRONX,,1,A,778,VIOLATION DISMISSED
BRONX,18,4,C,617,VIOLATION CLOSED
BROOKLYN,2F,2,C,509,NOT COMPLIED WITH
BRONX,1C,2,B,501,NOV SENT OUT
BROOKLYN,C3,3,B,583,VIOLATION REOPEN
BRONX,51,5,A,556,VIOLATION CLOSED
BRONX,K,-1,B,576,VIOLATION DISMISSED
BRONX,3E,3,C,617,VIOLATION CLOSED
BROOKLYN,2FL,-999,C,810,VIOLATION CLOSED
BROOKLYN,1,1,B,1502,VIOLATION CLOSED
